county,constituency,ward,no_of_polling_station_2017,no_of_registered_voters_2017,year_2017,no_of_polling_station_2022,no_of_registered_voters_2022,year_2022,change_polling,change_voters,pct_change_voters
ELGEYO/MARAKWET,MARAKWET EAST,KAPYEGO,26.0,6678.0,2017.0,26,8415,2022,0.0,1737.0,26.010781671159027
ELGEYO/MARAKWET,MARAKWET EAST,SAMBIRIR,48.0,11399.0,2017.0,48,13394,2022,0.0,1995.0,17.50153522238793
ELGEYO/MARAKWET,MARAKWET WEST,ARROR,11.0,4209.0,2017.0,11,5243,2022,0.0,1034.0,24.5664053219292
ELGEYO/MARAKWET,MARAKWET WEST,CHERANG'ANY/CHEBORORWA,24.0,7883.0,2017.0,26,9679,2022,2.0,1796.0,22.78320436382088
ELGEYO/MARAKWET,MARAKWET WEST,KAPSOWAR,28.0,10975.0,2017.0,29,13187,2022,1.0,2212.0,20.15489749430524
ELGEYO/MARAKWET,MARAKWET WEST,LELAN,29.0,8366.0,2017.0,29,10081,2022,0.0,1715.0,20.499641405689697
ELGEYO/MARAKWET,MARAKWET WEST,MOIBEN/KUSERWO,25.0,9085.0,2017.0,25,10775,2022,0.0,1690.0,18.6020913593836
ELGEYO/MARAKWET,MARAKWET WEST,SENGWER,18.0,8301.0,2017.0,21,9603,2022,3.0,1302.0,15.684857246114925
EMBU,MANYATTA,GATURI SOUTH,24.0,9368.0,2017.0,25,10512,2022,1.0,1144.0,12.211784799316822
EMBU,MANYATTA,KIRIMARI,56.0,27605.0,2017.0,55,29617,2022,-1.0,2012.0,7.288534685745336
EMBU,MANYATTA,KITHIMU,26.0,10826.0,2017.0,28,11824,2022,2.0,998.0,9.218547940144099
EMBU,MANYATTA,MBETI NORTH,34.0,16617.0,2017.0,36,17844,2022,2.0,1227.0,7.384004332912078
EMBU,MANYATTA,NGINDA,43.0,17519.0,2017.0,43,18342,2022,0.0,823.0,4.697756721274046
EMBU,MANYATTA,RUGURU/NGANDORI,43.0,17404.0,2017.0,44,18449,2022,1.0,1045.0,6.004366812227074
EMBU,MBEERE NORTH,EVURORE,62.0,24822.0,2017.0,67,26393,2022,5.0,1571.0,6.329062928047699
EMBU,MBEERE NORTH,MUMINJI,25.0,9077.0,2017.0,26,9849,2022,1.0,772.0,8.505012669384158
EMBU,MBEERE NORTH,NTHAWA,35.0,17110.0,2017.0,41,18882,2022,6.0,1772.0,10.356516656925773
EMBU,MBEERE SOUTH,KIAMBERE,24.0,7894.0,2017.0,25,8569,2022,1.0,675.0,8.550798074486952
EMBU,MBEERE SOUTH,MAKIMA,29.0,10623.0,2017.0,33,11753,2022,4.0,1130.0,10.637296432269604
EMBU,MBEERE SOUTH,MAVURIA,46.0,19025.0,2017.0,52,20627,2022,6.0,1602.0,8.420499342969777
EMBU,MBEERE SOUTH,MBETI SOUTH,40.0,17775.0,2017.0,43,19083,2022,3.0,1308.0,7.358649789029535
EMBU,MBEERE SOUTH,MWEA,38.0,16826.0,2017.0,38,17232,2022,0.0,406.0,2.412932366575538
EMBU,RUNYENJES,CENTRAL WARD,28.0,15193.0,2017.0,31,17035,2022,3.0,1842.0,12.124004475745409
EMBU,RUNYENJES,GATURI NORTH,34.0,13944.0,2017.0,34,14872,2022,0.0,928.0,6.655192197360872
EMBU,RUNYENJES,KAGAARI NORTH,36.0,15940.0,2017.0,36,17286,2022,0.0,1346.0,8.444165621079046
EMBU,RUNYENJES,KAGAARI SOUTH,27.0,12097.0,2017.0,27,13564,2022,0.0,1467.0,12.126973629825578
EMBU,RUNYENJES,KYENI NORTH,26.0,13579.0,2017.0,28,15314,2022,2.0,1735.0,12.777082259371086
EMBU,RUNYENJES,KYENI SOUTH,34.0,16224.0,2017.0,35,17255,2022,1.0,1031.0,6.354783037475345
GARISSA,BALAMBALA,BALAMBALA,11.0,3743.0,2017.0,17,4414,2022,6.0,671.0,17.926796687149345
GARISSA,BALAMBALA,DANYERE,11.0,3540.0,2017.0,17,3924,2022,6.0,384.0,10.847457627118644
GARISSA,BALAMBALA,JARA JARA,4.0,1830.0,2017.0,10,2729,2022,6.0,899.0,49.12568306010929
GARISSA,BALAMBALA,SAKA,11.0,4087.0,2017.0,22,5413,2022,11.0,1326.0,32.4443356985564
GARISSA,BALAMBALA,SANKURI,16.0,6945.0,2017.0,28,9605,2022,12.0,2660.0,38.30093592512599
GARISSA,DADAAB,ABAKAILE,12.0,6023.0,2017.0,24,9331,2022,12.0,3308.0,54.92279594886269
GARISSA,DADAAB,DADAAB,7.0,3731.0,2017.0,13,5657,2022,6.0,1926.0,51.621549182524795
GARISSA,DADAAB,DAMAJALE,13.0,5964.0,2017.0,26,9760,2022,13.0,3796.0,63.648558014755196
GARISSA,DADAAB,DERTU,10.0,3910.0,2017.0,16,3744,2022,6.0,-166.0,-4.245524296675192
GARISSA,DADAAB,LABASIGALE,4.0,1699.0,2017.0,8,4331,2022,4.0,2632.0,154.91465567981166
GARISSA,DADAAB,LIBOI,10.0,4435.0,2017.0,15,5362,2022,5.0,927.0,20.901916572717024
GARISSA,FAFI,BURA,14.0,3602.0,2017.0,16,5272,2022,2.0,1670.0,46.36313159355913
GARISSA,FAFI,DEKAHARIA,15.0,2851.0,2017.0,21,4740,2022,6.0,1889.0,66.25745352507893
GARISSA,FAFI,FAFI,14.0,6162.0,2017.0,18,7050,2022,4.0,888.0,14.410905550146055
GARISSA,FAFI,JARAJILA,8.0,3378.0,2017.0,10,3123,2022,2.0,-255.0,-7.548845470692718
GARISSA,FAFI,NANIGHI,10.0,3890.0,2017.0,19,7150,2022,9.0,3260.0,83.80462724935732
GARISSA,GARISSA TOWNSHIP,GALBET,32.0,17630.0,2017.0,32,16698,2022,0.0,-932.0,-5.28644356211004
GARISSA,GARISSA TOWNSHIP,IFTIN,22.0,10532.0,2017.0,27,11479,2022,5.0,947.0,8.991644511963539
GARISSA,GARISSA TOWNSHIP,TOWNSHIP,21.0,13862.0,2017.0,22,13419,2022,1.0,-443.0,-3.195787043716635
GARISSA,GARISSA TOWNSHIP,WABERI,22.0,12267.0,2017.0,22,11657,2022,0.0,-610.0,-4.972690959484797
GARISSA,IJARA,HULUGHO,17.0,4738.0,2017.0,22,6266,2022,5.0,1528.0,32.24989447024061
GARISSA,IJARA,IJARA,20.0,5121.0,2017.0,28,7383,2022,8.0,2262.0,44.171060339777384
GARISSA,IJARA,MASALANI,22.0,9292.0,2017.0,31,11098,2022,9.0,1806.0,19.436074042186828
GARISSA,IJARA,SANGAILU,9.0,3571.0,2017.0,12,4919,2022,3.0,1348.0,37.74852982357883
GARISSA,LAGDERA,BARAKI,6.0,3444.0,2017.0,15,5175,2022,9.0,1731.0,50.26132404181185
GARISSA,LAGDERA,BENANE,9.0,3759.0,2017.0,12,4463,2022,3.0,704.0,18.728385208832137
GARISSA,LAGDERA,GOREALE,4.0,1207.0,2017.0,7,2438,2022,3.0,1231.0,101.9884009942005
GARISSA,LAGDERA,MAALIMIN,11.0,4498.0,2017.0,17,5091,2022,6.0,593.0,13.183637172076478
GARISSA,LAGDERA,MODOGASHE,11.0,4803.0,2017.0,23,6388,2022,12.0,1585.0,33.00020820320633
GARISSA,LAGDERA,SABENA,5.0,2836.0,2017.0,8,3394,2022,3.0,558.0,19.675599435825106
HOMA BAY,HOMA BAY TOWN,HOMA BAY ARUJO,21.0,11219.0,2017.0,25,13283,2022,4.0,2064.0,18.39736161868259
HOMA BAY,HOMA BAY TOWN,HOMA BAY CENTRAL,37.0,18299.0,2017.0,42,21119,2022,5.0,2820.0,15.410678179135473
