county,constituency,ward,no_of_polling_station,no_of_registered_voters
NAIROBI CITY,KAMUKUNJI,EASTLEIGH SOUTH,39,26140
NAIROBI CITY,KAMUKUNJI,PUMWANI,58,37690
NAIROBI CITY,KASARANI,CLAY CITY,51,34039
NAIROBI CITY,KASARANI,KASARANI,39,26144
NAIROBI CITY,KASARANI,MWIKI,39,26636
NAIROBI CITY,KASARANI,NJIRU,37,24494
NAIROBI CITY,KASARANI,RUAI,56,35388
NAIROBI CITY,KIBRA,LAINI SABA,25,17393
NAIROBI CITY,KIBRA,LINDI,24,16625
NAIROBI CITY,KIBRA,MAKINA,40,25583
NAIROBI CITY,KIBRA,SARANGOMBE,47,30656
NAIROBI CITY,KIBRA,WOODLEY/KENYATTA GOLF COURSE,44,28019
NAIROBI CITY,LANGATA,KAREN,49,32515
NAIROBI CITY,LANGATA,MUGUMU-INI,54,35133
NAIROBI CITY,LANGATA,NAIROBI WEST,24,16611
NAIROBI CITY,LANGATA,NYAYO HIGHRISE,32,21353
NAIROBI CITY,LANGATA,SOUTH C,41,26960
NAIROBI CITY,MAKADARA,HARAMBEE,54,35515
NAIROBI CITY,MAKADARA,MAKONGENI,41,27415
NAIROBI CITY,MAKADARA,MARINGO/HAMZA,61,39183
NAIROBI CITY,MAKADARA,VIWANDANI,36,23935
NAIROBI CITY,MATHARE,HOSPITAL,17,11208
NAIROBI CITY,MATHARE,HURUMA,33,22632
NAIROBI CITY,MATHARE,KIAMAIKO,28,18559
NAIROBI CITY,MATHARE,MABATINI,28,18855
NAIROBI CITY,MATHARE,MLANGO KUBWA,32,21612
NAIROBI CITY,MATHARE,NGEI,33,22693
NAIROBI CITY,ROYSAMBU,GITHURAI,52,35693
NAIROBI CITY,ROYSAMBU,KAHAWA,25,16320
NAIROBI CITY,ROYSAMBU,KAHAWA WEST,54,35302
NAIROBI CITY,ROYSAMBU,ROYSAMBU,46,30501
NAIROBI CITY,ROYSAMBU,ZIMMERMAN,44,29766
NAIROBI CITY,RUARAKA,BABA DOGO,41,27739
NAIROBI CITY,RUARAKA,KOROGOCHO,27,17116
NAIROBI CITY,RUARAKA,LUCKY SUMMER,27,17622
NAIROBI CITY,RUARAKA,MATHARE NORTH,41,27768
NAIROBI CITY,RUARAKA,UTALII,39,26056
NAIROBI CITY,STAREHE,LANDIMAWE,30,19593
NAIROBI CITY,STAREHE,NAIROBI CENTRAL,78,51584
NAIROBI CITY,STAREHE,NAIROBI SOUTH,51,33869
NAIROBI CITY,STAREHE,NGARA,42,27086
NAIROBI CITY,STAREHE,PANGANI,27,17666
NAIROBI CITY,STAREHE,ZIWANI/KARIOKOR,25,16599
NAIROBI CITY,WESTLANDS,KANGEMI,45,30660
NAIROBI CITY,WESTLANDS,KARURA,44,29432
NAIROBI CITY,WESTLANDS,KITISURU,43,27676
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,45,30052
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,53,34898
NAKURU,BAHATI,BAHATI,36,18304
NAKURU,BAHATI,DUNDORI,31,14330
NAKURU,BAHATI,KABATINI,24,11746
NAKURU,BAHATI,KIAMAINA,45,24936
NAKURU,BAHATI,LANET/UMOJA,33,18192
NAKURU,GILGIL,ELEMENTAITA,27,13690
NAKURU,GILGIL,GILGIL,45,26166
NAKURU,GILGIL,MALEWA WEST,25,13057
NAKURU,GILGIL,MBARUK/EBURU,40,19577
NAKURU,GILGIL,MURINDATI,25,12850
NAKURU,KURESOI NORTH,KAMARA,29,15350
NAKURU,KURESOI NORTH,KIPTORORO,32,15196
NAKURU,KURESOI NORTH,NYOTA,42,20137
NAKURU,KURESOI NORTH,SIRIKWA,19,10661
NAKURU,KURESOI SOUTH,AMALO,22,10815
NAKURU,KURESOI SOUTH,KERINGET,35,17231
NAKURU,KURESOI SOUTH,KIPTAGICH,26,13500
NAKURU,KURESOI SOUTH,TINET,32,14115
NAKURU,MOLO,ELBURGON,41,23789
NAKURU,MOLO,MARIASHONI,16,7706
NAKURU,MOLO,MOLO,50,25421
NAKURU,MOLO,TURI,28,14076
NAKURU,NAIVASHA,BIASHARA,21,10846
NAKURU,NAIVASHA,HELLS GATE,42,24885
NAKURU,NAIVASHA,LAKE VIEW,30,18642
NAKURU,NAIVASHA,MAI MAHIU,36,19805
NAKURU,NAIVASHA,MAIELLA,30,14284
NAKURU,NAIVASHA,NAIVASHA EAST,26,14059
NAKURU,NAIVASHA,OLKARIA,24,14405
NAKURU,NAIVASHA,VIWANDANI,47,28123
NAKURU,NAKURU TOWN EAST,BIASHARA,54,31796
NAKURU,NAKURU TOWN EAST,FLAMINGO,28,18296
NAKURU,NAKURU TOWN EAST,KIVUMBINI,23,13249
NAKURU,NAKURU TOWN EAST,MENENGAI,35,21803
NAKURU,NAKURU TOWN EAST,NAKURU EAST,45,27600
NAKURU,NAKURU TOWN WEST,BARUT,9,4618
NAKURU,NAKURU TOWN WEST,KAPKURES,14,7964
NAKURU,NAKURU TOWN WEST,KAPTEMBWO,56,34884
NAKURU,NAKURU TOWN WEST,LONDON,29,18275
NAKURU,NAKURU TOWN WEST,RHODA,21,13332
NAKURU,NAKURU TOWN WEST,SHAABAB,30,18476
NAKURU,NJORO,KIHINGO,18,9636
NAKURU,NJORO,LARE,29,14831
NAKURU,NJORO,MAU NAROK,37,21471
NAKURU,NJORO,MAUCHE,30,15148
NAKURU,NJORO,NESSUIT,16,8187
NAKURU,NJORO,NJORO,61,35414
NAKURU,RONGAI,MENENGAI WEST,36,18537
NAKURU,RONGAI,MOSOP,41,18353
NAKURU,RONGAI,SOIN,34,12852
NAKURU,RONGAI,SOLAI,26,8864
NAKURU,RONGAI,VISOI,45,18556
NAKURU,SUBUKIA,KABAZI,48,19164
NAKURU,SUBUKIA,SUBUKIA,40,17942
NAKURU,SUBUKIA,WASEGES,42,14476
NANDI,ALDAI,KABWARENG,23,9348
NANDI,ALDAI,KAPTUMO-KABOI,26,12242
NANDI,ALDAI,KEMELOI-MARABA,37,14101
NANDI,ALDAI,KOBUJOI,28,12063
NANDI,ALDAI,KOYO-NDURIO,30,10519
NANDI,ALDAI,TERIK,26,7593
NANDI,CHESUMEI,CHEMUNDU/KAPNG'ETUNY,26,12329
NANDI,CHESUMEI,KAPTEL/KAMOIYWO,34,15688
NANDI,CHESUMEI,KIPTUYA,17,8804
NANDI,CHESUMEI,KOSIRAI,30,13352
NANDI,CHESUMEI,LELMOKWO/NGECHEK,25,12126
NANDI,EMGWEN,CHEPKUMIA,16,8326
NANDI,EMGWEN,KAPKANGANI,18,8435
NANDI,EMGWEN,KAPSABET,32,17152
NANDI,EMGWEN,KILIBWONI,54,24639
NANDI,MOSOP,CHEPTERWAI,23,8335
NANDI,MOSOP,KABISAGA,21,9442
NANDI,MOSOP,KABIYET,19,10096
NANDI,MOSOP,KIPKAREN,20,9594
NANDI,MOSOP,KURGUNG/SURUNGAI,22,8751
NANDI,MOSOP,NDALAT,19,9019
NANDI,MOSOP,SANGALO/KEBULONIK,19,8689
NANDI,NANDI HILLS,CHEPKUNYUK,44,17694
NANDI,NANDI HILLS,KAPCHORUA,20,7436
NANDI,NANDI HILLS,NANDI HILLS,35,16371
NANDI,NANDI HILLS,OL'LESSOS,22,9892
NANDI,TINDERET,CHEMELIL/CHEMASE,17,6944
NANDI,TINDERET,KAPSIMOTWO,23,8299
NANDI,TINDERET,SONGHOR/SOBA,39,16475
NANDI,TINDERET,TINDIRET,31,12253
NAROK,EMURUA DIKIRR,ILKERIN,22,10949
NAROK,EMURUA DIKIRR,KAPSASIAN,17,8207
NAROK,EMURUA DIKIRR,MOGONDO,13,6394
NAROK,EMURUA DIKIRR,OLOLMASANI,23,9981
NAROK,KILGORIS,ANGATA BARIKOI,21,9560
NAROK,KILGORIS,KEYIAN,22,8559
NAROK,KILGORIS,KILGORIS CENTRAL,40,15894
NAROK,KILGORIS,KIMINTET,22,9050
NAROK,KILGORIS,LOLGORIAN,36,13012
NAROK,KILGORIS,SHANKOE,24,11004
NAROK,NAROK EAST,ILDAMAT,20,8282
NAROK,NAROK EAST,KEEKONYOKIE,20,10230
NAROK,NAROK EAST,MOSIRO,25,12032
NAROK,NAROK EAST,SUSWA,19,9015
NAROK,NAROK NORTH,MELILI,33,13383
NAROK,NAROK NORTH,NAROK TOWN,47,27547
NAROK,NAROK NORTH,NKARETA,17,7668
NAROK,NAROK NORTH,OLOKURTO,20,8940
NAROK,NAROK NORTH,OLORROPIL,27,12462
NAROK,NAROK NORTH,OLPUSIMORU,18,8380
NAROK,NAROK SOUTH,LOITA,23,9444
NAROK,NAROK SOUTH,MAJIMOTO/NAROOSURA,42,17176
NAROK,NAROK SOUTH,MELELO,20,9802
NAROK,NAROK SOUTH,OLOLULUNG'A,28,13623
NAROK,NAROK SOUTH,SAGAMIAN,12,6747
NAROK,NAROK SOUTH,SOGOO,18,8980
NAROK,NAROK WEST,ILMOTIOK,35,16178
NAROK,NAROK WEST,MARA,28,13929
NAROK,NAROK WEST,NAIKARRA,24,10606
NAROK,NAROK WEST,SIANA,34,14696
NYAMIRA,BORABU,ESISE,27,12498
NYAMIRA,BORABU,KIABONYORU,36,20190
NYAMIRA,BORABU,MEKENENE,21,10021
NYAMIRA,BORABU,NYANSIONGO,24,12200
NYAMIRA,KITUTU MASABA,GACHUBA,28,14153
NYAMIRA,KITUTU MASABA,GESIMA,37,17423
NYAMIRA,KITUTU MASABA,KEMERA,31,16332
NYAMIRA,KITUTU MASABA,MAGOMBO,25,12194
NYAMIRA,KITUTU MASABA,MANGA,31,15803
NYAMIRA,KITUTU MASABA,RIGOMA,35,17341
NYAMIRA,NORTH MUGIRANGO,BOKEIRA,24,11963
NYAMIRA,NORTH MUGIRANGO,BOMWAGAMO,17,7963
NYAMIRA,NORTH MUGIRANGO,EKERENYO,25,12391
NYAMIRA,NORTH MUGIRANGO,ITIBO,24,11945
NYAMIRA,NORTH MUGIRANGO,MAGWAGWA,21,10044
NYAMIRA,WEST MUGIRANGO,BOGICHORA,38,19430
NYAMIRA,WEST MUGIRANGO,BONYAMATUTA,26,13559
NYAMIRA,WEST MUGIRANGO,BOSAMARO,36,17074
NYAMIRA,WEST MUGIRANGO,NYAMAIYA,27,14547
NYAMIRA,WEST MUGIRANGO,TOWNSHIP,20,11782
NYANDARUA,KINANGOP,ENGINEER,26,14857
NYANDARUA,KINANGOP,GATHARA,32,16919
NYANDARUA,KINANGOP,GITHABAI,23,10742
NYANDARUA,KINANGOP,MAGUMU,25,14379
NYANDARUA,KINANGOP,MURUNGARU,31,15210
NYANDARUA,KINANGOP,NJABINI\KIBURU,24,12075
NYANDARUA,KINANGOP,NORTH KINANGOP,19,10484
NYANDARUA,KINANGOP,NYAKIO,26,14575
NYANDARUA,KIPIPIRI,GETA,21,10295
NYANDARUA,KIPIPIRI,GITHIORO,23,10719
NYANDARUA,KIPIPIRI,KIPIPIRI,29,13125
NYANDARUA,KIPIPIRI,WANJOHI,34,16277
NYANDARUA,NDARAGWA,CENTRAL,37,16388
NYANDARUA,NDARAGWA,KIRIITA,22,12057
NYANDARUA,NDARAGWA,LESHAU/PONDO,27,12542
NYANDARUA,NDARAGWA,SHAMATA,27,11844
NYANDARUA,OL JOROK,CHARAGITA,25,12301
NYANDARUA,OL JOROK,GATHANJI,22,11938
NYANDARUA,OL JOROK,GATIMU,24,13812
NYANDARUA,OL JOROK,WERU,31,16719
NYANDARUA,OL KALOU,KAIMBAGA,21,12305
NYANDARUA,OL KALOU,KANJUIRI RANGE,30,14965
NYANDARUA,OL KALOU,KARAU,25,12747
NYANDARUA,OL KALOU,MIRANGINE,24,14194
NYANDARUA,OL KALOU,RURII,26,14165
NYERI,KIENI,GAKAWA,28,13553
NYERI,KIENI,GATARAKWA,25,11616
NYERI,KIENI,KABARU,25,12776
NYERI,KIENI,MUGUNDA,35,15491
NYERI,KIENI,MWEIGA,23,10816
NYERI,KIENI,MWIYOGO/ENDARASHA,26,12054
NYERI,KIENI,NAROMORU KIAMATHAGA,33,17330
NYERI,KIENI,THEGU RIVER,32,15365
NYERI,MATHIRA,IRIAINI,33,17093
NYERI,MATHIRA,KARATINA TOWN,47,25576
NYERI,MATHIRA,KIRIMUKUYU,35,17430
NYERI,MATHIRA,KONYU,25,12646
NYERI,MATHIRA,MAGUTU,24,12737
NYERI,MATHIRA,RUGURU,26,14014
NYERI,MUKURWEINI,GIKONDI,25,12098
NYERI,MUKURWEINI,MUKURWE-INI CENTRAL,35,17810
NYERI,MUKURWEINI,MUKURWE-INI WEST,24,12175
NYERI,MUKURWEINI,RUGI,27,13227
NYERI,NYERI TOWN,GATITU/MURUGURU,21,10526
NYERI,NYERI TOWN,KAMAKWA/MUKARO,28,15847
NYERI,NYERI TOWN,KIGANJO/MATHARI,32,15226
NYERI,NYERI TOWN,RURING'U,24,12936
NYERI,NYERI TOWN,RWARE,47,28325
NYERI,OTHAYA,CHINGA,32,14716
NYERI,OTHAYA,IRIA-INI,38,18313
NYERI,OTHAYA,KARIMA,26,11509
NYERI,OTHAYA,MAHIGA,33,14028
NYERI,TETU,AGUTHI-GAAKI,36,17194
NYERI,TETU,DEDAN KIMANTHI,31,13487
NYERI,TETU,WAMAGANA,41,21035
PRISONS,PRISONS,PRISONS,2,793
SAMBURU,SAMBURU EAST,WAMBA EAST,21,6481
SAMBURU,SAMBURU EAST,WAMBA NORTH,24,4513
SAMBURU,SAMBURU EAST,WAMBA WEST,27,5809
SAMBURU,SAMBURU EAST,WASO,21,5293
SAMBURU,SAMBURU NORTH,ANGATA NANYOKIE,12,3523
SAMBURU,SAMBURU NORTH,BAAWA,12,3531
SAMBURU,SAMBURU NORTH,EL-BARTA,16,4583
SAMBURU,SAMBURU NORTH,NACHOLA,12,2776
SAMBURU,SAMBURU NORTH,NDOTO,19,5106
SAMBURU,SAMBURU NORTH,NYIRO,19,5069
SAMBURU,SAMBURU WEST,LODOKEJEK,21,6109
SAMBURU,SAMBURU WEST,LOOSUK,11,4309
SAMBURU,SAMBURU WEST,MARALAL,42,15535
SAMBURU,SAMBURU WEST,PORO,12,4467
SAMBURU,SAMBURU WEST,SUGUTA MARMAR,15,5683
SIAYA,ALEGO USONGA,CENTRAL ALEGO,33,16097
SIAYA,ALEGO USONGA,NORTH ALEGO,31,16299
SIAYA,ALEGO USONGA,SIAYA TOWNSHIP,40,22112
SIAYA,ALEGO USONGA,SOUTH EAST ALEGO,51,24066
SIAYA,ALEGO USONGA,USONGA,16,7849
SIAYA,ALEGO USONGA,WEST ALEGO,35,16911
SIAYA,BONDO,CENTRAL SAKWA,23,11827
SIAYA,BONDO,NORTH SAKWA,35,18442
SIAYA,BONDO,SOUTH SAKWA,28,12667
SIAYA,BONDO,WEST SAKWA,34,18087
SIAYA,BONDO,WEST YIMBO,27,14272
SIAYA,BONDO,YIMBO EAST,30,14983
SIAYA,GEM,CENTRAL GEM,23,11538
SIAYA,GEM,EAST GEM,26,12228
SIAYA,GEM,NORTH GEM,35,16782
SIAYA,GEM,SOUTH GEM,36,15883
SIAYA,GEM,WEST GEM,25,11987
SIAYA,GEM,YALA TOWNSHIP,23,12054
SIAYA,RARIEDA,EAST ASEMBO,35,19161
SIAYA,RARIEDA,NORTH UYOMA,24,11514
SIAYA,RARIEDA,SOUTH UYOMA,19,10157
SIAYA,RARIEDA,WEST ASEMBO,40,19070
SIAYA,RARIEDA,WEST UYOMA,33,15877
SIAYA,UGENYA,EAST UGENYA,31,15293
SIAYA,UGENYA,NORTH UGENYA,27,14300
SIAYA,UGENYA,UKWALA,23,12415
SIAYA,UGENYA,WEST UGENYA,31,15595
SIAYA,UGUNJA,SIDINDI,26,12677
SIAYA,UGUNJA,SIGOMERE,32,15128
SIAYA,UGUNJA,UGUNJA,44,22682
TAITA TAVETA,MWATATE,BURA,24,8881
TAITA TAVETA,MWATATE,CHAWIA,20,8032
TAITA TAVETA,MWATATE,MWATATE,17,8580
TAITA TAVETA,MWATATE,RONG'E,19,6033
TAITA TAVETA,MWATATE,WUSI/KISHAMBA,16,7505
TAITA TAVETA,TAVETA,BOMANI,15,8481
TAITA TAVETA,TAVETA,CHALA,19,8058
TAITA TAVETA,TAVETA,MAHOO,14,5673
TAITA TAVETA,TAVETA,MATA,13,5166
TAITA TAVETA,TAVETA,MBOGHONI,18,6924
TAITA TAVETA,VOI,KALOLENI,27,14773
TAITA TAVETA,VOI,KASIGAU,15,7035
TAITA TAVETA,VOI,MARUNGU,11,5529
TAITA TAVETA,VOI,MBOLOLO,31,14030
TAITA TAVETA,VOI,NGOLIA,14,5388
TAITA TAVETA,VOI,SAGALLA,12,5717
TAITA TAVETA,WUNDANYI,MWANDA/MGANGE,17,6771
TAITA TAVETA,WUNDANYI,WERUGHA,11,5289
TAITA TAVETA,WUNDANYI,WUMINGU/KISHUSHE,16,6954
TAITA TAVETA,WUNDANYI,WUNDANYI/MBALE,25,10897
TANA RIVER,BURA,BANGALE,19,9408
TANA RIVER,BURA,CHEWELE,22,6897
TANA RIVER,BURA,HIRIMANI,25,9249
TANA RIVER,BURA,MADOGO,20,5970
TANA RIVER,BURA,SALA,15,6628
TANA RIVER,GALOLE,CHEWANI,31,12403
TANA RIVER,GALOLE,KINAKOMBA,22,7463
TANA RIVER,GALOLE,MIKINDUNI,12,5914
TANA RIVER,GALOLE,WAYU,28,7576
TANA RIVER,GARSEN,GARSEN CENTRAL,15,5906
TANA RIVER,GARSEN,GARSEN NORTH,22,8294
TANA RIVER,GARSEN,GARSEN SOUTH,19,8761
TANA RIVER,GARSEN,GARSEN WEST,21,9642
TANA RIVER,GARSEN,KIPINI EAST,17,7089
TANA RIVER,GARSEN,KIPINI WEST,19,7127
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,IGAMBANG'OMBE,69,15108
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,KARINGANI,34,16236
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MAGUMONI,60,20951
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MARIANI,26,9429
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MUGWE,36,14762
THARAKA - NITHI,MAARA,CHOGORIA,56,20531
THARAKA - NITHI,MAARA,GANGA,27,11679
THARAKA - NITHI,MAARA,MITHERU,29,10220
THARAKA - NITHI,MAARA,MUTHAMBI,31,11935
THARAKA - NITHI,MAARA,MWIMBI,39,14364
THARAKA - NITHI,THARAKA,CHIAKARIGA,64,17392
THARAKA - NITHI,THARAKA,GATUNGA,40,12618
THARAKA - NITHI,THARAKA,MARIMANTI,52,17092
THARAKA - NITHI,THARAKA,MUKOTHIMA,35,12021
THARAKA - NITHI,THARAKA,NKONDI,27,8816
TRANS NZOIA,CHERANGANY,CHEPSIRO/KIPTOROR,21,9462
TRANS NZOIA,CHERANGANY,CHERANGANY/SUWERWA,29,13136
TRANS NZOIA,CHERANGANY,KAPLAMAI,23,11132
TRANS NZOIA,CHERANGANY,MAKUTANO,16,8134
TRANS NZOIA,CHERANGANY,MOTOSIET,26,13146
TRANS NZOIA,CHERANGANY,SINYERERE,20,9872
TRANS NZOIA,CHERANGANY,SITATUNGA,22,11624
TRANS NZOIA,ENDEBESS,CHEPCHOINA,34,15679
TRANS NZOIA,ENDEBESS,ENDEBESS,25,13846
TRANS NZOIA,ENDEBESS,MATUMBEI,27,13664
TRANS NZOIA,KIMININI,HOSPITAL,23,12330
TRANS NZOIA,KIMININI,KIMININI,26,14145
TRANS NZOIA,KIMININI,NABISWA,26,15361
TRANS NZOIA,KIMININI,SIKHENDU,16,9254
TRANS NZOIA,KIMININI,SIRENDE,20,10692
TRANS NZOIA,KIMININI,WAITALUK,26,15700
TRANS NZOIA,KWANZA,BIDII,26,15758
TRANS NZOIA,KWANZA,KAPOMBOI,37,19177
TRANS NZOIA,KWANZA,KEIYO,26,12603
TRANS NZOIA,KWANZA,KWANZA,35,18105
TRANS NZOIA,SABOTI,KINYORO,30,15563
TRANS NZOIA,SABOTI,MACHEWA,15,7531
TRANS NZOIA,SABOTI,MATISI,38,22738
TRANS NZOIA,SABOTI,SABOTI,23,12451
TRANS NZOIA,SABOTI,TUWANI,29,18519
TURKANA,LOIMA,KOTARUK/LOBEI,19,5963
TURKANA,LOIMA,LOIMA,10,3469
TURKANA,LOIMA,LOKIRIAMA/LORENGIPPI,22,3546
TURKANA,LOIMA,TURKWEL,58,16125
TURKANA,TURKANA CENTRAL,KALOKOL,24,7570
TURKANA,TURKANA CENTRAL,KANAMKEMER,20,9435
TURKANA,TURKANA CENTRAL,KANG'ATOTHA,26,6242
TURKANA,TURKANA CENTRAL,KERIO DELTA,36,9087
TURKANA,TURKANA CENTRAL,LODWAR TOWNSHIP,34,15532
TURKANA,TURKANA EAST,KAPEDO/NAPEITOM,32,2880
TURKANA,TURKANA EAST,KATILIA,17,4989
TURKANA,TURKANA EAST,LOKORI/KOCHODIN,22,7751
TURKANA,TURKANA NORTH,KAALENG/KAIKOR,21,6794
TURKANA,TURKANA NORTH,KAERIS,13,5158
TURKANA,TURKANA NORTH,KIBISH,10,3085
TURKANA,TURKANA NORTH,LAKE ZONE,28,8772
TURKANA,TURKANA NORTH,LAPUR,26,5826
TURKANA,TURKANA NORTH,NAKALALE,19,4373
TURKANA,TURKANA SOUTH,KALAPATA,16,3310
TURKANA,TURKANA SOUTH,KAPUTIR,14,3398
TURKANA,TURKANA SOUTH,KATILU,29,11774
TURKANA,TURKANA SOUTH,LOBOKAT,6,2770
TURKANA,TURKANA SOUTH,LOKICHAR,42,12170
TURKANA,TURKANA WEST,KAKUMA,25,10342
TURKANA,TURKANA WEST,KALOBEYEI,13,3712
TURKANA,TURKANA WEST,LETEA,16,3423
TURKANA,TURKANA WEST,LOKICHOGGIO,13,4718
TURKANA,TURKANA WEST,LOPUR,11,3752
TURKANA,TURKANA WEST,NANAAM,11,2581
TURKANA,TURKANA WEST,SONGOT,11,2888
UASIN GISHU,AINABKOI,AINABKOI/OLARE,39,17110
UASIN GISHU,AINABKOI,KAPSOYA,34,21103
UASIN GISHU,AINABKOI,KAPTAGAT,40,16584
UASIN GISHU,KAPSERET,KIPKENYO,22,13851
UASIN GISHU,KAPSERET,LANGAS,38,24056
UASIN GISHU,KAPSERET,MEGUN,15,6958
UASIN GISHU,KAPSERET,NGERIA,19,9374
UASIN GISHU,KAPSERET,SIMAT/KAPSERET,25,12343
UASIN GISHU,KESSES,CHEPTIRET/KIPCHAMO,31,14098
UASIN GISHU,KESSES,RACECOURSE,28,17396
UASIN GISHU,KESSES,TARAKWA,39,18117
UASIN GISHU,KESSES,TULWET/CHUIYAT,41,17525
UASIN GISHU,MOIBEN,KARUNA/MEIBEKI,26,10888
UASIN GISHU,MOIBEN,KIMUMU,40,23678
UASIN GISHU,MOIBEN,MOIBEN,28,12266
UASIN GISHU,MOIBEN,SERGOIT,20,8864
UASIN GISHU,MOIBEN,TEMBELIO,31,13126
UASIN GISHU,SOY,KAPKURES,15,8060
UASIN GISHU,SOY,KIPSOMBA,19,8702
UASIN GISHU,SOY,KUINET/KAPSUSWA,30,16163
UASIN GISHU,SOY,MOI'S BRIDGE,19,11817
UASIN GISHU,SOY,SEGERO/BARSOMBE,25,11894
UASIN GISHU,SOY,SOY,19,9933
UASIN GISHU,SOY,ZIWA,32,15298
UASIN GISHU,TURBO,HURUMA,47,31270
UASIN GISHU,TURBO,KAMAGUT,27,14328
UASIN GISHU,TURBO,KAPSAOS,23,14553
UASIN GISHU,TURBO,KIPLOMBE,42,24573
UASIN GISHU,TURBO,NGENYILEL,25,11743
UASIN GISHU,TURBO,TAPSAGOI,29,14384
VIHIGA,EMUHAYA,CENTRAL BUNYORE,27,12968
VIHIGA,EMUHAYA,NORTH EAST BUNYORE,26,13658
VIHIGA,EMUHAYA,WEST BUNYORE,34,14868
VIHIGA,HAMISI,BANJA,22,11367
VIHIGA,HAMISI,GISAMBAI,21,9102
VIHIGA,HAMISI,JEPKOYAI,19,9922
VIHIGA,HAMISI,MUHUDU,16,8114
VIHIGA,HAMISI,SHAMAKHOKHO,27,13340
VIHIGA,HAMISI,SHIRU,23,11470
VIHIGA,HAMISI,TAMBUA,20,10042
VIHIGA,LUANDA,EMABUNGO,24,11252
VIHIGA,LUANDA,LUANDA SOUTH,20,9823
VIHIGA,LUANDA,LUANDA TOWNSHIP,16,9018
VIHIGA,LUANDA,MWIBONA,17,8711
VIHIGA,LUANDA,WEMILABI,22,10410
VIHIGA,SABATIA,BUSALI,24,10622
VIHIGA,SABATIA,CHAVAKALI,18,8866
VIHIGA,SABATIA,LYADUYWA/IZAVA,27,13393
VIHIGA,SABATIA,NORTH MARAGOLI,17,9201
VIHIGA,SABATIA,WEST SABATIA,19,10657
VIHIGA,SABATIA,WODANGA,23,10296
VIHIGA,VIHIGA,CENTRAL MARAGOLI,21,11833
VIHIGA,VIHIGA,LUGAGA-WAMULUMA,30,15358
VIHIGA,VIHIGA,MUNGOMA,17,9046
VIHIGA,VIHIGA,SOUTH MARAGOLI,18,9072
WAJIR,ELDAS,DELLA,12,4994
WAJIR,ELDAS,ELDAS,13,3459
WAJIR,ELDAS,ELNUR/TULA TULA,17,7505
WAJIR,ELDAS,LAKOLEY SOUTH/BASIR,7,2718
WAJIR,TARBAJ,ELBEN,9,3358
WAJIR,TARBAJ,SARMAN,13,5625
WAJIR,TARBAJ,TARBAJ,19,7371
WAJIR,TARBAJ,WARGADUD,9,3345
WAJIR,WAJIR EAST,BARWAGO,13,6875
WAJIR,WAJIR EAST,KHOROF/HARAR,21,6903
WAJIR,WAJIR EAST,TOWNSHIP,17,7300
WAJIR,WAJIR EAST,WAGBERI,14,5886
WAJIR,WAJIR NORTH,BATALU,12,4690
WAJIR,WAJIR NORTH,BUTE,10,3161
WAJIR,WAJIR NORTH,DANABA,16,5404
WAJIR,WAJIR NORTH,GODOMA,8,2681
WAJIR,WAJIR NORTH,GURAR,9,1961
WAJIR,WAJIR NORTH,KORONDILE,14,4384
WAJIR,WAJIR NORTH,MALKAGUFU,7,2269
WAJIR,WAJIR SOUTH,BENANE,25,8859
WAJIR,WAJIR SOUTH,BURDER,10,3795
WAJIR,WAJIR SOUTH,DADAJA BULLA,8,4036
WAJIR,WAJIR SOUTH,DIIF,19,9019
WAJIR,WAJIR SOUTH,HABASSWEIN,24,8407
WAJIR,WAJIR SOUTH,IBRAHIM URE,17,5643
WAJIR,WAJIR SOUTH,LAGBOGHOL SOUTH,16,5710
WAJIR,WAJIR WEST,ADAMASAJIDE,15,5107
WAJIR,WAJIR WEST,ARBAJAHAN,16,6485
WAJIR,WAJIR WEST,GANYURE/WAGALLA,28,8858
WAJIR,WAJIR WEST,HADADO/ATHIBOHOL,16,7094
WEST POKOT,KACHELIBA,ALALE,49,9564
WEST POKOT,KACHELIBA,KAPCHOK,19,6138
WEST POKOT,KACHELIBA,KASEI,32,6222
WEST POKOT,KACHELIBA,KIWAWA,33,7354
WEST POKOT,KACHELIBA,KODICH,26,7065
WEST POKOT,KACHELIBA,SUAM,28,6289
WEST POKOT,KAPENGURIA,ENDUGH,32,7072
WEST POKOT,KAPENGURIA,KAPENGURIA,32,10207
WEST POKOT,KAPENGURIA,MNAGEI,36,15354
WEST POKOT,KAPENGURIA,RIWO,50,10990
WEST POKOT,KAPENGURIA,SIYOI,16,6757
WEST POKOT,KAPENGURIA,SOOK,28,5221
WEST POKOT,POKOT SOUTH,BATEI,38,10691
WEST POKOT,POKOT SOUTH,CHEPARERIA,65,15345
WEST POKOT,POKOT SOUTH,LELAN,65,12425
WEST POKOT,POKOT SOUTH,TAPACH,37,9609
WEST POKOT,SIGOR,LOMUT,43,10079
WEST POKOT,SIGOR,MASOOL,16,4966
WEST POKOT,SIGOR,SEKERR,27,7524
